Book Name,Category,URL
Rich Dad Poor Dad,Finance,https://archive.org/download/rich-dad-poor-dad_202106/Rich%20Dad%20Poor%20Dad.pdf
The Intelligent Investor,Finance,http://dspace.kottakkalfarookcollege.edu.in:8001/jspui/bitstream/123456789/7905/1/The%20Intelligent%20Investor%20%28%20PDFDrive%20%29%20%281%29.pdf
Think and Grow Rich,Finance,https://apex.oracle.com/pls/apex/lonestar/r/files/static/v13Y/Think-And-Grow-Rich_2011-06.pdf
Your Money or Your Life,Finance,https://unmhonorsart.files.wordpress.com/2016/07/201610060921278241.pdf
The Millionaire Next Door,Finance,https://www.edelweissmf.com/Files/Insigths/booksummary/pdf/EMF_BookSummary_TheMillionaireNextDoor.pdf
The Total Money Makeover,Finance,https://finance.uonbi.ac.ke/sites/finance.uonbi.ac.ke/files/The%20Total%20Money%20Makeover%20-%20Dave%20Ramsey.pdf
The Psychology of Money,Finance,https://inspiredbyislam.wordpress.com/wp-content/uploads/2022/08/the-psychology-of-money-timeless-lessons-on-wealth-greed-and-happiness-morgan-housel-z-lib.org_.pdf
Unshakeable,Finance,https://irp-cdn.multiscreensite.com/cb9165b2/files/uploaded/Unshakeable_%20Your%20Financial%20Freedom%20Playbook%20(%20PDFDrive.com%20).pdf
I Will Teach You to Be Rich,Finance,https://www.iwillteachyoutoberich.com/wp-content/uploads/2023/01/IWillTeachYoutoBeRich-Chapter1.pdf
The Simple Path to Wealth,Finance,https://cdn.bookey.app/files/pdf/book/en/the-simple-path-to-wealth.pdf
Money: Master the Game,Finance,https://bestbenefitsolutions.com/uploads/3/4/7/0/34704235/money_master_the_game__7_simple_-_tony_robbins.pdf
Broke Millennial,Finance,https://yourknowledgedigest.org/wp-content/uploads/2020/04/broke-millennial.pdf
The Barefoot Investor,Finance,https://www.edelweissmf.com/Files/Insigths/booksummary/pdf/Barefoot_Investor1_15062023_123709_PM.pdf
Financial Freedom,Finance,https://yis.org/yiscourse/frontend/pdf/YIS%20Module%201%20-%20Five%20Steps%20to%20Financial%20Freedom.pdf
Dollars and Sense,Finance,https://www.richmondfed.org/-/media/richmondfedorg/education/for_teachers/lesson_plans_and_classroom_activities/pdf/dollars_sense.pdf
The Richest Man in Babylon,Finance,https://thediamondsmine.com/files/Ebooks/Clason-RichestManInBabylon.pdf
One Up on Wall Street,Finance,https://yourknowledgedigest.org/wp-content/uploads/2020/04/one-up-on-wall-street.pdf
A Random Walk Down Wall Street,Finance,https://yourknowledgedigest.org/wp-content/uploads/2020/04/a-random-walk-down-wall-street.pdf
Principles: Life and Work,Finance,https://kolegite.com/EE_library/books_and_lectures/%D0%94%D1%80%D1%83%D0%B3%D0%B8/top%20self-develovment%20books/Principles_Life_and_Work_Ray_Dalio.pdf
Security Analysis,Finance,https://glenbradford.com/files/Stocks/security-analysis-benjamin-graham-6th-edition-pdf-february-24-2010-12-08-am-3-0-meg.pdf
Common Stocks and Uncommon Profits,Finance,https://archive.org/download/common_stocks_and_uncommon_profits_and_other_writings/common_stocks_and_uncommon_profits_and_other_writings.pdf
The Little Book of Common Sense Investing,Finance,https://s3.amazonaws.com/appforest_uf/f1548678496593x485255667442610300/Little%20Book%20Of%20Common%20Sense%20Investing%20%28%20PDFDrive.com%20%29.pdf
The Wealthy Gardener,Finance,https://cdn.bookey.app/files/pdf/book/en/the-wealthy-gardener.pdf
Quit Like a Millionaire,Finance,https://goodbooksummary.s3.us-east-2.amazonaws.com/Quit+Like+a+Millionaire+by+Kristy+Shen%2C+Bryce+Leung+Book+Summary.pdf
The Automatic Millionaire,Finance,https://davidbach.com/wp-content/uploads/2016/04/AutoMillionaireWorkbook_Compressed.pdf
Early Retirement Extreme,Finance,https://cdn.bookey.app/files/pdf/book/en/early-retirement-extreme.pdf
Liar's Poker,Finance,https://altexploit.wordpress.com/wp-content/uploads/2017/09/michael-lewis-liars-poker_-rising-through-the-wreckage-on-wall-street-penguin-books-1990.pdf
Flash Boys,Finance,https://archive.org/download/B-001-000-192/B-001-000-192.pdf
The Essays of Warren Buffett,Finance,http://csinvesting.org/wp-content/uploads/2015/05/Essays-of-Warren-Buffett-_-Lessons-for-Corporate-America_Cunningham.pdf
"Thinking, Fast and Slow",Psychology,https://archive.org/download/DanielKahnemanThinkingFastAndSlow/Daniel%20Kahneman-Thinking%2C%20Fast%20and%20Slow%20%20.pdf
Influence: The Psychology of Persuasion,Psychology,https://archive.org/download/ThePsychologyOfPersuasion/The%20Psychology%20of%20Persuasion.pdf
Flow: The Psychology of Optimal Experience,Psychology,https://blogs.baruch.cuny.edu/authenticityandastonishment2/files/2013/04/Mihaly-Csikszentmihalyi-Flow1.pdf
Predictably Irrational,Psychology,https://radio.shabanali.com/predictable.pdf
The Paradox of Choice,Psychology,https://www.shabanali.com/upload/poc.pdf
Drive,Psychology,https://drive.gov.in/static/assets/UserManual.pdf
Blink,Psychology,https://www.ashaekhope.com/wp-content/uploads/2025/03/blink-to-speak-english.pdf
The Social Animal,Psychology,https://khanahmadli.wordpress.com/wp-content/uploads/2019/01/the-social-animal.pdf
Stumbling on Happiness,Psychology,https://imp.dayawisesa.com/wp-content/uploads/2023/09/Stumbling-on-happiness-by-Daniel-Todd-Gilbert-z-lib.org_.pdf
The Power of Habit,Psychology,https://hoormazd.com/wp-content/uploads/2018/12/The-Power-of-Habit-Charles-Duhigg.pdf
Emotional Intelligence,Psychology,https://www.cu.edu/sites/default/files/EI%20Participant%20Guide%20Updated%202015.pdf
Quiet,Psychology,https://www.apsu.edu/writingcenter/writing-resources/Quiet-Quite-Quit-Cite-Sight-Site.pdf
Grit,Psychology,https://www.apa.org/pubs/journals/features/edu-edu0000594.pdf
Behave,Psychology,http://sackett.net/sapolsky_behave.pdf
Mindset,Psychology,https://adrvantage.com/wp-content/uploads/2023/02/Mindset-The-New-Psychology-of-Success-Dweck.pdf
The Lucifer Effect,Psychology,https://dl1.cuni.cz/pluginfile.php/607976/mod_resource/content/1/Lucifer_Effect.pdf
You Are Not So Smart,Psychology,https://dutraeconomicus.files.wordpress.com/2014/02/you-are-not-so-smart.pdf
The Happiness Hypothesis,Psychology,https://www.happinesshypothesis.com/happiness-hypothesis-ch1.pdf
The Art of Thinking Clearly,Psychology,http://xqdoc.imedao.com/166eb7278f3556e3fe9dc3ef.pdf

The Willpower Instinct,Psychology,https://k16.cuny.edu/wp-content/uploads/sites/16/2016/12/LH-the_willpower_instinct_how_self_control_works_why_-8-15-2016.pdf
The Psychology of Money,Psychology,https://inspiredbyislam.wordpress.com/wp-content/uploads/2022/08/the-psychology-of-money-timeless-lessons-on-wealth-greed-and-happiness-morgan-housel-z-lib.org_.pdf
Mistakes Were Made (But Not by Me),Psychology,http://r.bournemouth.ac.uk:82/share/Mistakes%20Were%20Made%20But%20Not%20By%20Me.pdf
Rewire,Psychology,https://www.enisa.europa.eu/events/european-cybersecurity-skills-framework-ecsf-2022/a4-rewire.pdf
The Brain That Changes Itself,Psychology,https://yurttutan.info/wp-content/uploads/2017/12/Doidge-Brain-Changes-Itself.pdf
The Laws of Human Nature,Psychology,https://profilebooks.com/wp-content/uploads/wpallimport/files/PDFs/9781781259191_preview.pdf
The Honest Truth About Dishonesty,Psychology,https://id-ont.org/images/pdf/the_honest_truth_about_dishones_-_dan_ariely.pdf
Games People Play,Psychology,https://ccpgc.usmf.md/sites/default/files/inline-files/Games%20People%20Play%20The%20Psychology%20of%20Human%20Relationships%20by%20Eric%20Berne%20%28z-lib.org%29.pdf
The Noonday Demon,Depression,https://spjnewswire.jrn.columbia.edu/display?rackid=R97o692&FilesData=By+Andrew+Solomon+The+Noonday+Demon+An+Atlas+Of+Depression.pdf
Reasons to Stay Alive,Depression,https://ocdaction.org.uk/wp-content/uploads/2020/03/reasons_to_stay_alive.pdf
Feeling Good,Depression,https://www.ecml.at/Portals/1/5MTP/Schank/documents/Feeling-Good.pdf
The Bell Jar,Depression,https://openlibrary-repo.ecampusontario.ca/jspui/bitstream/123456789/1145/4/The-Bell-Jar-1645639688._print.pdf
Darkness Visible,Depression,https://escriturasdeguerraunlp.files.wordpress.com/2014/10/johnson-darkness-visible.pdf
The Mindful Way Through Depression,Depression,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/B9434FEED3F92EA122444DCD930FC9E4/S0007125000247892a.pdf/the_mindful_way_through_depression_freeing_yourself_from_chronic_unhappiness_by_mark_williams_john_teasdale_zindel_segal_jon_kabatzinn_guilford_publications_2007_278pp_us_1995_pb_isbn_9781593851286.pdf
Undoing Depression,Depression,https://cdn.bookey.app/files/pdf/book/en/undoing-depression.pdf
Man's Search for Meaning,Depression,https://antilogicalism.com/wp-content/uploads/2017/07/mans-search-for-meaning.pdf
The Happiness Trap,Depression,https://cabct.hr/wp-content/uploads/2016/10/The-Happiness-Trap-Harris-R1.pdf
This Is Depression,Depression,https://www.nj.gov/humanservices/dmhas/publications/miscl/MH_Fact_Sheets/NIMH_Depression.pdf
Depression: The Mood Disease,Depression,https://apps.who.int/iris/bitstream/handle/10665/254610/WHO-MSD-MER-2017.2-eng.pdf
Out of the Darkened Room,Depression,Not Found
The Depression Cure,Depression,https://www.nj.gov/humanservices/dmhas/publications/miscl/MH_Fact_Sheets/NIMH_Depression.pdf
Telling Yourself the Truth,Depression,https://cdn.bookey.app/files/pdf/book/en/telling-yourself-the-truth.pdf
The Antidepressant Book,Depression,https://link.springer.com/content/pdf/10.1023/A:1012254112670.pdf
Get Out of Your Mind and Into Your Life,Depression,https://tantor-site-assets.s3.amazonaws.com/bonus-content/B0538_MindLife/B0538_MindLife_BonusPDF.pdf
Against Depression,Depression,https://www.european-depression-day.de/wp-content/uploads/2021/09/DepressionManifesto2.pdf
Beyond Blue,Depression,https://esf.com.au/wp-content/uploads/2021/06/Beyond-Blue-phase-three-report.pdf
Night Falls Fast,Depression,https://api.motion.ac.in/textbook-solutions/threads/_pdfs/night_falls_fast_understanding_suicide_vintage.pdf
When Someone You Love is Depressed,Depression,https://www.sadag.org/images/brochures/Helping-a-Depressed-Loved-One.pdf
Cognitive Behavioral Therapy Made Simple,Depression,https://www.hpft.nhs.uk/media/1655/wellbeing-team-cbt-workshop-booklet-2016.pdf
The Mindful Way Workbook,Depression,https://www.mindful-way.com/wp-content/uploads/2021/01/Mindful-Way-Hugh-MBSR-Workbook-V1.2019.pdf
The Disappearance of the Universe,Depression,https://cdn.bookey.app/files/pdf/book/en/the-disappearance-of-the-universe.pdf
The Gifts of Imperfection,Depression,https://ati.dae.gov.in/ati12052021_4.pdf
How to Stop Worrying and Start Living,Depression,https://crpf.gov.in/writereaddata/images/pdf/How_To_Stop_Worrying_And_Start_Living.pdf
Unstuck,Depression,https://www.childrensmercy.org/siteassets/media-documents-for-depts-section/departments/gastroenterology/getting-unstuck.pdf
Dare,Anxiety,https://www.ojp.gov/pdffiles/darefs.pdf
The Anxiety and Phobia Workbook,Anxiety,https://todaytelemedicine.com/wp-content/uploads/2023/12/The-Anxiety-and-Phobia-Workbook-Edmund-J.-Bourne.pdf
My Age of Anxiety,Anxiety,https://cdn.bookey.app/files/pdf/book/en/my-age-of-anxiety.pdf
Rewire Your Anxious Brain,Anxiety,https://hypnotherapycenter.co.za/wp-content/uploads/2020/10/Rewire-Your-Anxious-Brain_-How-to-Use-the-Neuroscience-of-Fear-to-End-Anxiety-Panic-and-Worry.pdf
The Worry Trick,Anxiety,https://cdn.bookey.app/files/pdf/book/en/the-worry-trick.pdf
Anxiety Relief,Anxiety,https://polytechnic.purdue.edu/sites/default/files/files/PCOT%20Columbus/Natural%20Ways%20of%20Dealing%20with%20Anxiety%20Without%20Medications_PCCAPS.pdf
At Last a Life,Anxiety,https://cdn.bookey.app/files/pdf/book/en/at-last-a-life.pdf
Feeling Good,Anxiety,https://www.ecml.at/Portals/1/5MTP/Schank/documents/Feeling-Good.pdf
Hope and Help for Your Nerves,Anxiety,https://ebookk.ir/wp-content/uploads/2024/01/Hope-and-Help-for-Your-Nerves_p01-20.pdf
